#"Progress (%)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
0.0%,1408026160059.5352,1392515203456.5159,2800541363516.051,18609009216946.22
0.0%,760293890893.9697,606016455008.9661,1366310345902.9358,8098558470952.509
0.0%,6719510398795.365,5618835714065.442,12338346112860.809,75087844880980.89
0.0%,8131043340170.793,10260815678231.4,18391859018402.195,137121385142246.33
0.0%,4524986609857.167,4330166617200.8604,8855153227058.027,57866592975349.1
0.0%,2503971195946.5645,1238067233311.6995,3742038429258.2637,16545029094625.586
0.0%,1143072423711.534,598534942067.5994,1741607365779.1333,7998578561981.309
0.0%,301093370497.33966,399651822796.1813,700745193293.521,5340785102757.217
0.0%,7788194875772.014,10419118075502.633,18207312951274.65,139236874267659.7
0.0%,3524057288045.8228,5190454659416.1045,8714511947461.928,69363133958940.59
0.0%,1756753454699.9116,1714680111687.3367,3471433566387.248,22914290575284.5
0.0%,984325924597.8385,310598108395.57794,1294924032993.4165,4150707329839.118
0.0%,480536014202.6782,150243187323.12344,630779201525.8016,2007789107608.611
0.0%,135748926404.29079,176049835829.62564,311798762233.91644,2352658706679.374
0.0%,18504450828.212082,97352077963.34172,115856528791.5538,1300973742772.687
0.0%,58243835069.17506,34526776191.64359,92770611260.81865,461401853844.6777
0.0%,26826946931.580837,37712248945.24972,64539195876.83055,503971221622.5272
0.0%,8365451311.825919,17955387979.628925,26320839291.454845,239948533112.8695
0.0%,5879782113.6103945,5150824529.221107,11030606642.831501,68833532949.02924
0.0%,3064519894.8885355,4310580350.659223,7375100245.547758,57604850041.631615
0.0%,4022272968.456336,5107323425.634427,9129596394.090763,68252201818.437294
0.0%,1558025778.7166133,716907734.8944342,2274933513.6110477,9580464624.89999
0.0%,4571079334347.706,3969773258672.733,8540852593020.439,53050442089578.5
0.0%,704798719220.6968,2866421304107.8423,3571220023328.539,38305693421076.914
0.0%,864738162054.2551,813804475101.3923,1678542637155.6475,10875353418305.996
0.0%,218820786913.08035,638943332536.3381,857764119449.4185,8538579926999.226
0.0%,670692482045.1283,1637211678013.4368,2307904160058.565,21879033802014.37
0.0%,600769237976.606,576106580528.2079,1176875818504.814,7698855021748.829
0.0%,464224304345.0494,459992731631.9018,924217035976.9512,6147156570656.166
0.0%,466370361997.1752,392585030898.6398,858955392895.815,5246347357855.643
0.0%,2589861124151.006,7941033627020.703,10530894751171.709,106120757310584.5
0.0%,2725729309953.521,2123169907287.0542,4848899217240.575,28373182767251.15
0.0%,970665352600.1946,1283644478847.1707,2254309831447.365,17154104945393.55
0.0%,177910589204.07104,829209307637.2283,1007119896841.2993,11081217361430.863
0.0%,139230830584.68228,308589447092.0629,447820277676.74524,4123864393677.2354
0.0%,171962344184.2866,217070830966.28577,389033175150.5724,2900846672377.4106
